Name,Total
Neymar Jr,284.0
E. Hazard,279.0
L. Messi,277.0
M. Salah,276.0
D. Mertens,275.0
K. Mbappé,275.0
R. Sterling,275.0
Douglas Costa,274.0
Cristiano Ronaldo,272.0
Gelson Martins,272.0
S. Mané,272.0
L. Insigne,271.0
A. Gómez,269.0
A. Griezmann,268.0
Bernard,268.0
Jordi Alba,266.0
F. Cervi,266.0
Alex Teixeira,265.0
Gabriel Jesus,265.0
O. Dembélé,265.0
S. Agüero,264.0
H. Nakagawa,264.0
Lucas Moura,264.0
S. Nakajima,264.0
Coutinho,264.0
P. Dybala,264.0
E. Višća,263.0
Daniel Podence,263.0
K. Coman,263.0
L. Modrić,263.0
A. Saint-Maximin,263.0
Y. Brahimi,263.0
R. Assalé,262.0
H. Lozano,262.0
C. Pavón,262.0
L. Sané,262.0
A. Musa,262.0
S. Giovinco,262.0
Bruma,262.0
Taison,262.0
T. Itō,262.0
Willian,262.0
I. Traoré,262.0
Nélson Semedo,261.0
F. Acheampong,261.0
W. Ben Yedder,261.0
G. Bale,261.0
G. Martínez,261.0
Y. Carrasco,260.0
L. Acosta,260.0
J. Cuadrado,260.0
L. Suárez,260.0
M. Sau,260.0
L. Bailey,260.0
Santi da Bruma,260.0
T. Werner,260.0
Rafa,259.0
J. Plata,259.0
M. Reus,259.0
J. Martínez,259.0
T. Asano,259.0
A. Sánchez,259.0
J. Corona,259.0
K. Kampl,259.0
Q. Promes,259.0
Malcom,259.0
C. Pulisic,259.0
S. Gnabry,259.0
C. Njie,258.0
T. Inui,258.0
J. Forrest,258.0
L. Bittencourt,258.0
S. Verdi,258.0
N. Pépé,258.0
H. Villalba,258.0
R. Mahrez,258.0
J. Murillo,258.0
T. Hazard,258.0
M. Barrios,258.0
Gerso,257.0
T. Bifouma,257.0
K. Bellarabi,257.0
Andeson Trigo,257.0
Iago Aspas,257.0
Deulofeu,257.0
Marcelo,257.0
Costinha,257.0
M. Rashford,257.0
A. Di María,257.0
Eltildo Bessa,257.0
Garry Rodrigues,257.0
R. Alessandrini,257.0
Ronaldo Cabrais,257.0
N. Kanté,257.0
Felipe Anderson,256.0
M. Pucciarelli,256.0
P. Aubameyang,256.0
M. Simon,256.0
Jonathan Viera,256.0
R. Fraser,256.0
Bernardo Silva,256.0
F. Thauvin,256.0
A. Correa,256.0
Claudio Coíntra,255.0
D. Buonanotte,255.0
Laure Santeiro,255.0
A. Mitriţă,255.0
M. Almirón,255.0
R. Centurión,255.0
F. Castillo,255.0
J. Ikoné,255.0
M. Barrow,255.0
José Callejón,255.0
Gervinho,255.0
A. Robben,255.0
L. Trossard,255.0
D. Quintero,255.0
S. Sinclair,255.0
W. Zaha,254.0
T. Hasegawa,254.0
J. Sancho,254.0
Marlos,254.0
M. Carcela-González,254.0
J. Izquierdo,254.0
Gonçalo Guedes,254.0
Dodô,254.0
Diogo Jota,254.0
Ronaldo Esler,254.0
C. Galano,254.0
Héctor Bellerín,254.0
Jesús Navas,254.0
A. Martial,254.0
J. Damm,254.0
M. Politano,254.0
A. Diaby,254.0
H. Son,254.0
Mário Rui,254.0
Quaresma,253.0
E. Lavezzi,253.0
Álvaro García,253.0
C. Musonda,253.0
A. Hurtado,253.0
D. Yedlin,253.0
T. Lemar,253.0
N. Gaitán,253.0
A. Florenzi,253.0
J. Lingard,253.0
Raphinha,253.0
R. Guerreiro,253.0
M. Rashica,253.0
A. Harit,253.0
I. Ezekiel,252.0
David Silva,252.0
Luiz Araújo,252.0
D. Ndongala,252.0
J. Vardy,252.0
A. Bălută,252.0
E. Salvio,252.0
R. Otero,252.0
Muniain,252.0
L. Acosta,252.0
Vinícius Júnior,252.0
Thiago,252.0
Hwang Hee Chan,252.0
C. Atsu,252.0
Rodrigo,252.0
Giuliano,251.0
Luimo Boas Santos,251.0
Ricardo Pereira,251.0
João Cancelo,251.0
Y. Toyokawa,251.0
L. Quiñones,251.0
O. Kayode,251.0
Hernâni,251.0
A. Lacazette,251.0
C. Şahin,251.0
B. Raman,250.0
G. Hauche,250.0
L. Muriel,250.0
Jovane Cabral,250.0
Williams,250.0
Oswaldito Cuba,250.0
Kauã Abranches,250.0
A. Oyongo,250.0
K. Baldé,250.0
J. Paintsil,250.0
C. Arboleda,250.0
H. Mkhitaryan,250.0
J. Iturbe,250.0
Samu Castillejo,250.0
Salvador Agra,250.0
S. Bigalke,250.0
H. Onyekuru,250.0
E. Boateng,250.0
B. Moukandjo,250.0
E. Dennis,250.0
A. Di Gaudio,250.0
Paco Alcácer,249.0
T. Minamino,249.0
N. Keïta,249.0
Grimaldo,249.0
E. Oti Essigba,249.0
G. Wikheim,249.0
A. Solari,249.0
C. Bakambu,249.0
J. Bela,249.0
A. Kalulu,249.0
G. Wylde,249.0
D. Perotti,249.0
N. Fekir,249.0
Carlitos,249.0
Y. Konoplyanka,249.0
Maicón,249.0
A. Umar,249.0
E. Badu,249.0
G. Nkoudou,249.0
Allan,249.0
A. Ibargüen,249.0
Marlon Nideiro,249.0
Y. Nagatomo,249.0
N. Silva,249.0
D. Nagbe,248.0
V. Hernández,248.0
B. Traoré,248.0
M. Weiser,248.0
F. Chiesa,248.0
I. Brizuela,248.0
J. Brekalo,248.0
P. De Blasis,248.0
S. Palacios,248.0
Park Jun Tae,248.0
L. Menossi,248.0
G. Caprari,248.0
O. Pineda,248.0
A. Benali,248.0
J. Biabiany,248.0
X. Shaqiri,248.0
Diego Farías,248.0
T. Murg,248.0
E. Cerutti,248.0
R. Steffen,248.0
David Neres,248.0
I. Bebou,248.0
Juan Villar,248.0
M. Depay,248.0
F. Bernardeschi,248.0
K. De Bruyne,248.0
Lucas Vázquez,248.0
F. Arancibia,247.0
E. Karaca,247.0
J. Aquino,247.0
N. Ozokwo,247.0
J. Kimmich,247.0
M. O'Halloran,247.0
K. Gameiro,247.0
Gayà,247.0
M. Benítez,247.0
S. Limbombe,247.0
E. Vargas,247.0
K. Konaté,247.0
M. Fofana,247.0
W. Sobota,247.0
R. Lamah,247.0
L. Singh,247.0
Cristian Lodeira,247.0
André Martins,247.0
Guilherme,247.0
Daniel Candeias,247.0
Suso,247.0
F. Mubele,247.0
E. Ocansey,247.0
S. Feghouli,247.0
E. Mor,247.0
F. Forestieri,247.0
A. Limbombe,247.0
J. Gyau,247.0
B. Dejaegere,246.0
R. Krishna,246.0
L. Blessing,246.0
Marco Asensio,246.0
Jony,246.0
R. Falk,246.0
S. Adegbenro,246.0
Alex Sandro,246.0
J. Gómez,246.0
Aleix Vidal,246.0
J. Boëtius,246.0
F. Sánchez,246.0
B. Reid,246.0
B. Matuidi,246.0
R. Cabella,246.0
I. Fetfatzidis,246.0
Cristian Tello,246.0
M. Falzerano,246.0
Carlos Mané,246.0
Nani,246.0
Maikel Catarino,246.0
Z. Bakkali,246.0
V. Misidjan,246.0
T. Ndombele,246.0
T. Elyounoussi,246.0
C. Akolo,246.0
E. Palomino,246.0
K. Lasagna,246.0
Y. Kashiwa,246.0
L. Gamba,246.0
M. Philipp,246.0
J. Maclaren,246.0
K. Frei,246.0
M. Heller,246.0
I. Piatti,246.0
D. Gray,246.0
B. Bolingoli,246.0
F. Hanin,246.0
I. Sarr,245.0
K. Manneh,245.0
J. Lolley,245.0
Rubén Castro,245.0
Paco Montañés,245.0
